DELETAR,OBJECT_TYPE,DISPLAY_NAME,ID_OR_API_NAME,DELETION_IDENTIFIER
SIM,Segment,PCM_PF_GATILHO_CA-0029096_SF40245,1sg4X000000kImKQAU,1sg4X000000kImKQAU
SIM,Segment,PJ_CA_38474,1sg4X000000wwVXQAY,1sg4X000000wwVXQAY
SIM,Segment,PJ_CA_39749,1sgbJ000000prK1QAI,1sgbJ000000prK1QAI
SIM,Segment,PCM_PF_MELHORCONVERSA_CA0044017_216010,1sgbJ000000wD89QAE,1sgbJ000000wD89QAE
SIM,Segment,PJ_CA_38478,1sgbJ000000YJhlQAG,1sgbJ000000YJhlQAG
SIM,Segment,PJ_CA_38548,1sgbJ000000YJjNQAW,1sgbJ000000YJjNQAW
SIM,Segment,PJ_CA_38484,1sgbJ000000YJppQAG,1sgbJ000000YJppQAG
SIM,Segment,PJ_CA_39128,1sgbJ000000YTlxQAG,1sgbJ000000YTlxQAG
SIM,Segment,PJ_CA_39129,1sgbJ000000YVMLQA4,1sgbJ000000YVMLQA4
SIM,Segment,PJ_CA_39133,1sgbJ000000YVNxQAO,1sgbJ000000YVNxQAO
SIM,Segment,PJ_CA_39316,1sgbJ000000YY8vQAG,1sgbJ000000YY8vQAG
SIM,Segment,PCM_PF_MELHORCONVERSA_CA0044703_220344,1sgbJ0000012VGrQAM,1sgbJ0000012VGrQAM
SIM,Segment,PCM_PF_MELHORCONVERSA_CA-0046778_235793,1sgbJ000001bsthQAA,1sgbJ000001bsthQAA
SIM,Segment,PCM_PF_MELHORCONVERSA_CA-0046778_235791,1sgbJ000001bt09QAA,1sgbJ000001bt09QAA
SIM,Segment,PCM_PF_MELHORCONVERSA_CA-0046778_235826,1sgbJ000001bt3NQAQ,1sgbJ000001bt3NQAQ
SIM,Segment,PCM_PF_MELHORCONVERSA_CA-0046778_SF145965,1sgbJ000001btHtQAI,1sgbJ000001btHtQAI
SIM,Segment,PCM_PF_MELHORCONVERSA_CA-0046778_SF145967,1sgbJ000001btL7QAI,1sgbJ000001btL7QAI
SIM,Segment,PCM_PF_MELHORCONVERSA_CA-0046778_SF145968,1sgbJ000001btMjQAI,1sgbJ000001btMjQAI
SIM,Segment,PCM_PF_MELHORCONVERSA_CA-0047723_SF149318,1sgbJ000001cODdQAM,1sgbJ000001cODdQAM
SIM,Segment,PCM_PF_MELHORCONVERSA_CA-0046777_SF145963,1sgbJ000001h1t7QAA,1sgbJ000001h1t7QAA
SIM,Segment,PCM_PF_MELHORCONVERSA_JT0000521_SF150395,1sgbJ000001ke6jQAA,1sgbJ000001ke6jQAA
SIM,Segment,PJ_CA_48252,1sgbJ000001rQmzQAE,1sgbJ000001rQmzQAE
SIM,Segment,PJ_CA_48248,1sgbJ000001sWLhQAM,1sgbJ000001sWLhQAM
SIM,Segment,PJ_CA_48465_EXC,1sgbJ000001wV7iQAE,1sgbJ000001wV7iQAE
SIM,Segment,PJ_CA_48465,1sgbJ000001wVMDQA2,1sgbJ000001wVMDQA2
SIM,Segment,PJ_CA_46683,1sgbJ000001XzAbQAK,1sgbJ000001XzAbQAK
SIM,Segment,PJ_CA_48646,1sgbJ000001z3urQAA,1sgbJ000001z3urQAA
SIM,Segment,PJ_CA_48646_SAIDA,1sgbJ000001z637QAA,1sgbJ000001z637QAA
SIM,Segment,S00001_CRT_PF_CL_OFT_PSM_XXT_CarrinhoAbandonadoV2,1sgbJ000001ZKePQAW,1sgbJ000001ZKePQAW
SIM,Segment,PCM_PF_MELHORCONVERSA_JT0000979_0011252,1sgbJ000001zv0nQAA,1sgbJ000001zv0nQAA
SIM,Segment,PCM_PF_MELHORCONVERSA_JT0001421_EN0012642,1sgbJ00000279VFQAY,1sgbJ00000279VFQAY
SIM,Segment,PCM_PF_MELHORCONVERSA_JT0001421_EN0013325,1sgbJ0000027EebQAE,1sgbJ0000027EebQAE
SIM,Segment,PJ_CA_49292_EMPS,1sgbJ000002Fjq5QAC,1sgbJ000002Fjq5QAC
SIM,Segment,PJ_CA_49292_SAIDA_EMPS,1sgbJ000002Fk9RQAS,1sgbJ000002Fk9RQAS
SIM,Activation,PCM_PF_CA-0029096_SF40245,85R4X000000Xg0EUAS,85R4X000000Xg0EUAS
SIM,Activation,PJ_CA_38474,85R4X000000oU3KUAU,85R4X000000oU3KUAU
SIM,Activation,PJ_CA_38474,85R4X000000oU3KUAU,85R4X000000oU3KUAU
SIM,Activation,PJ_CA_38474,85R4X000000oU3KUAU,85R4X000000oU3KUAU
SIM,Activation,PJ_CA_38474,85R4X000000oU3KUAU,85R4X000000oU3KUAU
SIM,Activation,PJ_CA_38548,85RbJ00000005EDUAY,85RbJ00000005EDUAY
SIM,Activation,PJ_CA_38478,85RbJ00000005ULUAY,85RbJ00000005ULUAY
SIM,Activation,CARTOES - VENDAS,85RbJ0000002NIHUA2,85RbJ0000002NIHUA2
SIM,Activation,CARTOES - VENDAS,85RbJ0000002NIHUA2,85RbJ0000002NIHUA2
SIM,Activation,CARTOES - VENDAS,85RbJ0000002NIHUA2,85RbJ0000002NIHUA2
SIM,Activation,CARTOES - VENDAS,85RbJ0000002NIHUA2,85RbJ0000002NIHUA2
SIM,Activation,CARTOES - VENDAS,85RbJ0000002NLVUA2,85RbJ0000002NLVUA2
SIM,Activation,PCM_PF_MELHORCONVERSA_CA-0046778_235793,85RbJ0000003PBZUA2,85RbJ0000003PBZUA2
SIM,Activation,TESTE_JSON_CA_MCANAL_DESENV,85RbJ0000003aLVUAY,85RbJ0000003aLVUAY
SIM,Activation,TESTE_JSON_CA_MCANAL_DESENV,85RbJ0000003aLVUAY,85RbJ0000003aLVUAY
SIM,Activation,TESTE_JSON_CA_MCANAL_DESENV,85RbJ0000003aLVUAY,85RbJ0000003aLVUAY
SIM,Activation,TESTE_JSON_CA_MCANAL_DESENV,85RbJ0000003aLVUAY,85RbJ0000003aLVUAY
SIM,Activation,TESTE_JSON_CA_MCANAL_DESENV,85RbJ0000003aLVUAY,85RbJ0000003aLVUAY
SIM,Activation,TESTE_JSON_CA_MCANAL_DESENV,85RbJ0000003aLVUAY,85RbJ0000003aLVUAY
SIM,Activation,TESTE_JSON_CA_MCANAL_DESENV,85RbJ0000003aLVUAY,85RbJ0000003aLVUAY
SIM,Activation,PCM_PF_MELHORCONVERSA_JT0000521_SF150395,85RbJ0000003cFFUAY,85RbJ0000003cFFUAY
SIM,Activation,CARTOES - OFERTAS,85RbJ0000003lNNUAY,85RbJ0000003lNNUAY
SIM,Activation,CARTOES - OFERTAS,85RbJ0000003lNNUAY,85RbJ0000003lNNUAY
SIM,Activation,CARTOES - OFERTAS,85RbJ0000003lNNUAY,85RbJ0000003lNNUAY
SIM,Activation,CARTOES - OFERTAS,85RbJ0000003lNNUAY,85RbJ0000003lNNUAY
SIM,Activation,CARTOES - OFERTAS,85RbJ0000003lNNUAY,85RbJ0000003lNNUAY
SIM,Activation,CARTOES - OFERTAS,85RbJ0000003lNNUAY,85RbJ0000003lNNUAY
SIM,Activation,CARTOES - OFERTAS,85RbJ0000003lNNUAY,85RbJ0000003lNNUAY
SIM,Activation,CARTOES - OFERTAS,85RbJ0000003lNNUAY,85RbJ0000003lNNUAY
