DELETAR,OBJECT_TYPE,DISPLAY_NAME,ID,DELETION_IDENTIFIER
SIM,Activation,PCM_PF_MELHORCONVERSA_CA0044017_216010,1sgbJ000000wD89QAE,1sgbJ000000wD89QAE
SIM,Activation,PCM_PF_MELHORCONVERSA_CA0044703_220344,1sgbJ0000012VGrQAM,1sgbJ0000012VGrQAM
SIM,Activation,PCM_PF_MELHORCONVERSA_JT0000521_SF150395,1sgbJ000001ke6jQAA,1sgbJ000001ke6jQAA
SIM,Activation,PCM_PF_MELHORCONVERSA_CA-0047723_SF149318,1sgbJ000001cODdQAM,1sgbJ000001cODdQAM
SIM,Activation,PCM_PF_MELHORCONVERSA_JT0000979_0011252,1sgbJ000001zv0nQAA,1sgbJ000001zv0nQAA
SIM,Segment,PF - Propensao_Itaushop_Eletroportateis,1sg4X000000kCoAQAU,1sg4X000000kCoAQAU
SIM,Segment,PF - Propensao_Itaushop_Tecnologia,1sg4X000000kCpcQAE,1sg4X000000kCpcQAE
SIM,Segment,PF - Propensao_Itaushop_Presentes,1sg4X000000kCpNQAU,1sg4X000000kCpNQAU
SIM,Segment,PF_CA0023329_IA_EM_PS,1sg4X000000kCprQAE,1sg4X000000kCprQAE
SIM,Segment,PF - Propensao_Itaushop_Eletrodom,1sg4X000000kCpwQAE,1sg4X000000kCpwQAE
SIM,Segment,PF - Propensao_Itaushop_Casa_Dia_a_Dia,1sg4X000000kCq6QAE,1sg4X000000kCq6QAE
SIM,Segment,PF - Propensao_Itaushop_Sempre_Samsung,1sg4X000000kCv1QAE,1sg4X000000kCv1QAE
SIM,Segment,PF - Propensao_Itaushop_Samsung_Itau,1sg4X000000kCv6QAE,1sg4X000000kCv6QAE
SIM,Segment,PF - Propensao_Itaushop_Apple,1sg4X000000kD4JQAU,1sg4X000000kD4JQAU
SIM,Segment,PF - Propensao_Itaushop_Entretenimento,1sg4X000000kDqqQAE,1sg4X000000kDqqQAE
SIM,Segment,PF - Propensao_Itaushop_Dia_das_Crianças,1sg4X000000kDqWQAU,1sg4X000000kDqWQAU
SIM,Segment,PF - Propensao_Itaushop_Telecom,1sg4X000000kDS5QAM,1sg4X000000kDS5QAM
SIM,Segment,PF - Propensao_Itaushop_Baladeiro,1sg4X000000kDzxQAE,1sg4X000000kDzxQAE
SIM,Segment,PF - Propensao_Itaushop_Casa_Conectada,1sg4X000000kE0WQAU,1sg4X000000kE0WQAU
SIM,Segment,PF - Propensao_Itaushop_Familia,1sg4X000000kE3LQAU,1sg4X000000kE3LQAU
SIM,Segment,NCC - Propensao_Itaushop_Casa_Dia_a_Dia,1sg4X000000kHtPQAU,1sg4X000000kHtPQAU
SIM,Segment,PF - Propensao_Itaushop_IPS,1sg4X000000kHttQAE,1sg4X000000kHttQAE
SIM,Segment,NCC - Propensao_Itaushop_IPS_NCC,1sg4X000000kHu3QAE,1sg4X000000kHu3QAE
SIM,Segment,NCC - Propensao_Itaushop_Samsung_Itau_NCC,1sg4X000000kHwiQAE,1sg4X000000kHwiQAE
SIM,Segment,PF_ELEGMIN_INVESTIMENTOS_PS_IA,1sg4X000000kHyKQAU,1sg4X000000kHyKQAU
SIM,Segment,PF_ELEGMIN_INVESTIMENTOS_PS_IU,1sg4X000000kHyLQAU,1sg4X000000kHyLQAU
SIM,Segment,PF - Propensao_Itaushop_Beleza,1sg4X000000kHyoQAE,1sg4X000000kHyoQAE
SIM,Segment,NCC - Propensao_Itaushop_Beleza_NCC,1sg4X000000kHytQAE,1sg4X000000kHytQAE
SIM,Segment,PF_ELEGMIN_INVESTIMENTOS_PS_IP,1sg4X000000kHzhQAE,1sg4X000000kHzhQAE
SIM,Segment,NCC - Propensao_Itaushop_Eletrodom_NCC,1sg4X000000kI2CQAU,1sg4X000000kI2CQAU
SIM,Segment,NCC - Propensao_Itaushop_Baladeiro_NCC,1sg4X000000kIA6QAM,1sg4X000000kIA6QAM
SIM,Segment,PF - Propensao_Itaushop_Pet,1sg4X000000kIABQA2,1sg4X000000kIABQA2
SIM,Segment,PF_ELEGMIN_INVESTIMENTOS_IA,1sg4X000000kIIAQA2,1sg4X000000kIIAQA2
SIM,Segment,PF_ELEGMIN_INVESTIMENTOS_IU,1sg4X000000kIIBQA2,1sg4X000000kIIBQA2
SIM,Segment,PF_ELEGMIN_INVESTIMENTOS_IP,1sg4X000000kIIFQA2,1sg4X000000kIIFQA2
SIM,Segment,PCM_PF_GATILHO_CA-0029096_SF40245,1sg4X000000kImKQAU,1sg4X000000kImKQAU
SIM,Segment,NCC - Propensao_Awareness_Contextualizada,1sg4X000000kImoQAE,1sg4X000000kImoQAE
SIM,Segment,PF - Propensao_Itaushop_EletroMercado,1sg4X000000kJH3QAM,1sg4X000000kJH3QAM
SIM,Segment,NCC - Propensao_Itaushop_Mercado_NCC,1sg4X000000kJIzQAM,1sg4X000000kJIzQAM
SIM,Segment,PF - Propensao_Itaushop_Construção,1sg4X000000kJJ9QAM,1sg4X000000kJJ9QAM
SIM,Segment,PF_CA0029265_IA_PS,1sg4X000000kJMNQA2,1sg4X000000kJMNQA2
SIM,Segment,PF - Propensao_Itaushop_Viagem,1sg4X000000kJvmQAE,1sg4X000000kJvmQAE
SIM,Segment,NCC - Propensao_Itaushop_Sempre_Samsung,1sg4X000000kKowQAE,1sg4X000000kKowQAE
SIM,Segment,PF - Propensao_Itaushop_Blacks,1sg4X000000kL7PQAU,1sg4X000000kL7PQAU
SIM,Segment,PF - Propensao_Itaushop_Blacks_NCC,1sg4X000000kLTfQAM,1sg4X000000kLTfQAM
SIM,Segment,PF - Propensao_Itaushop_Tecnologia_NCC,1sg4X000000kLTkQAM,1sg4X000000kLTkQAM
SIM,Segment,NCC - Propensao_Telecom,1sg4X000000kM6SQAU,1sg4X000000kM6SQAU
SIM,Segment,PF_CA0030750_IA_EM_PS,1sg4X000000kN2MQAU,1sg4X000000kN2MQAU
SIM,Segment,PF_CA0030750_IU_EM_PS,1sg4X000000kN3tQAE,1sg4X000000kN3tQAE
SIM,Segment,OPTIN_WHATSAPP,1sg4X000000kNefQAE,1sg4X000000kNefQAE
SIM,Segment,NCC - Propensao_Itaushop_Presentes,1sg4X000000wlvyQAA,1sg4X000000wlvyQAA
SIM,Segment,NCC - Propensao_Itaushop_Viagem,1sg4X000000wnf9QAA,1sg4X000000wnf9QAA
SIM,Segment,PF - Propensao_Itaushop_Casa_Conectada_NCC,1sg4X000000wnwtQAA,1sg4X000000wnwtQAA
SIM,Segment,NCC - Propensao_Itaushop_Presentes_MAIO_PSH_NCC,1sg4X000000wocfQAA,1sg4X000000wocfQAA
SIM,Segment,PF_MELHORCONVERSA_MC1A4_CARTAO_CONTACORRENTE,1sg4X000000wrmdQAA,1sg4X000000wrmdQAA
SIM,Segment,PF_MELHORCONVERSA_MC1A4_CARTAO_INDIVIDUAL,1sg4X000000wrmsQAA,1sg4X000000wrmsQAA
SIM,Segment,D00017_INVEST_NA_PF_CL_NA_NA_NA_SEEDS,1sg4X000000ws9wQAA,1sg4X000000ws9wQAA
