expression_table,expression_field
tbhf9009_data_ppec_coph_dlm__dlm,ind_pose_crdi__c
ibb_Account__dlm,Id__c
mode_info_digl_pfis_a__dlm,qtd_dia_aces_fiso__c
Operacao_Recuperacao_Credito_Cliente__dlm,num_dia_atrs__c
Operacao_Recuperacao_Credito_Cliente__dlm,cod_chav_coro_clie__c
TBFS4ME_CADA_CONT_CORE_CLIE__dlm,ind_crgo_dret__c
Recuperacao_de_Credito_PF__dlm,Codigo_Unico__c
Recuperacao_de_Credito_PF__dlm,vlr_parc_opcr__c
TBFS4ME_CADA_CONT_CORE_CLIE__dlm,id__c
Recuperacao_de_Credito_PF__dlm,Date_Add__c
Recuperacao_de_Credito_PF__dlm,id_campanha__c
tbhf9me_sper_cada_pess_juri__dlm,cod_chav_coro_clie__c
Recuperacao_de_Credito_PF__dlm,qtd_parc_atrs_aber_ctrt__c
Informa_es_De_Produtos_Do_Cliente__dlm,cod_chav_coro_clie__c
Simulacao_Carrinho_Abandonado_Alter__dlm,cod_chav_coro_clie__c
informa_o_Cadastral_CHPRAS__dlm,Nome_Produto_Parceiro__c
Tabela_Visao_Propensao__dlm,Indicador_Potencial_Cliente_GPA__c
Info_de_Utiliza_o_Meios_de_Pagament__dlm,idt_utiz_crto_virt__c
Pagamento_PIX_Emissao__dlm,cod_chav_coro_clie_dstn__c
Recuperacao_de_Credito_PF__dlm,dat_ulti_atrs__c
Clientes_OPF_Consentimentos__dlm,des_situ_cotm_cslt_info_finn__c
Contrato_Iti__dlm,cod_chav_coro_clie__c
informa_o_Cadastral_CHPRAS__dlm,Ind_Assinatura_Contrato_Deb_Autom_tico__c
TBFS4ME_CADA_CONT_CORE_CLIE__dlm,cod_sgto_clie_banc__c
Tabela_Visao_Propensao__dlm,NOM_PROD_PRPS__c
prpt_finm_imol_cgi__dlm,id__c
informa_o_Cadastral_CHPRAS__dlm,Data_Minima_Desbloqueio_Cartao_CHPRAS__c
tbhf9009_data_ppec_coph_dlm__dlm,cod_chav_coro_clie__c
tbhf9me_sper_cada_pess_juri__dlm,KQ_cod_chav_coro_clie__c
Operacao_Recuperacao_Credito_Cliente__dlm,cod_prod_limi__c
informa_o_Cadastral_CHPRAS__dlm,Dia_Vencimento_Fatura_Cart_o__c
ibb_FinancialAccountBalance__dlm,Name__c
Pre_Negado_Cartao__dlm,cod_chav_coro_clie__c
Recuperacao_de_Credito_PF__dlm,cod_chav_coro_clie__c
