developername,dataspacename,description,iddmoname,primaryobjectname,primaryobjecttype,status,valuesdmoname,version,idsdmo_developername,idsdmo_fields_developername,dgobject_datagraphsourcedevname,dgobject_developername,dgobject_fields_datagraphfielddevname,dgobject_fields_datatype,dgobject_fields_developername,dgobject_fields_usagetag
Teste_ISH,default,,Teste_ISH_1744220594574_ID__dlm,agrg_mrke__dlm,Custom,Ready,Teste_ISH_1744220596880_VALUE__dlm,0,Teste_ISH_1744220594574_ID__dlm,object_name__c,Teste_ISH_agrg_mrke,agrg_mrke__dlm,Teste_ISH_agrg_mrke_cod_chav_unic_rgto,STRING,cod_chav_unic_rgto__c,NONE
Teste_ISH,default,,Teste_ISH_1744220594574_ID__dlm,agrg_mrke__dlm,Custom,Ready,Teste_ISH_1744220596880_VALUE__dlm,0,Teste_ISH_1744220594574_ID__dlm,object_name__c,Teste_ISH_agrg_mrke,agrg_mrke__dlm,Teste_ISH_agrg_mrke_dat_ulti_aces_mrke,DATE_TIME,dat_ulti_aces_mrke__c,NONE
Teste_ISH,default,,Teste_ISH_1744220594574_ID__dlm,agrg_mrke__dlm,Custom,Ready,Teste_ISH_1744220596880_VALUE__dlm,0,Teste_ISH_1744220594574_ID__dlm,object_name__c,Teste_ISH_agrg_mrke,agrg_mrke__dlm,Teste_ISH_agrg_mrke_dat_ulti_copr_mrke,DATE_TIME,dat_ulti_copr_mrke__c,NONE
Teste_ISH,default,,Teste_ISH_1744220594574_ID__dlm,agrg_mrke__dlm,Custom,Ready,Teste_ISH_1744220596880_VALUE__dlm,0,Teste_ISH_1744220594574_ID__dlm,object_name__c,Teste_ISH_agrg_mrke,agrg_mrke__dlm,Teste_ISH_agrg_mrke_KQ_cod_cha_pyHwYNel,STRING,KQ_cod_chav_unic_rgto__c,KEY_QUALIFIER
Teste_ISH,default,,Teste_ISH_1744220594574_ID__dlm,agrg_mrke__dlm,Custom,Ready,Teste_ISH_1744220596880_VALUE__dlm,0,Teste_ISH_1744220594574_ID__dlm,DataSource__c,Teste_ISH_agrg_mrke,agrg_mrke__dlm,Teste_ISH_agrg_mrke_cod_chav_unic_rgto,STRING,cod_chav_unic_rgto__c,NONE
Teste_ISH,default,,Teste_ISH_1744220594574_ID__dlm,agrg_mrke__dlm,Custom,Ready,Teste_ISH_1744220596880_VALUE__dlm,0,Teste_ISH_1744220594574_ID__dlm,DataSource__c,Teste_ISH_agrg_mrke,agrg_mrke__dlm,Teste_ISH_agrg_mrke_dat_ulti_aces_mrke,DATE_TIME,dat_ulti_aces_mrke__c,NONE
Teste_ISH,default,,Teste_ISH_1744220594574_ID__dlm,agrg_mrke__dlm,Custom,Ready,Teste_ISH_1744220596880_VALUE__dlm,0,Teste_ISH_1744220594574_ID__dlm,DataSource__c,Teste_ISH_agrg_mrke,agrg_mrke__dlm,Teste_ISH_agrg_mrke_dat_ulti_copr_mrke,DATE_TIME,dat_ulti_copr_mrke__c,NONE
Teste_ISH,default,,Teste_ISH_1744220594574_ID__dlm,agrg_mrke__dlm,Custom,Ready,Teste_ISH_1744220596880_VALUE__dlm,0,Teste_ISH_1744220594574_ID__dlm,DataSource__c,Teste_ISH_agrg_mrke,agrg_mrke__dlm,Teste_ISH_agrg_mrke_KQ_cod_cha_pyHwYNel,STRING,KQ_cod_chav_unic_rgto__c,KEY_QUALIFIER
Teste_ISH,default,,Teste_ISH_1744220594574_ID__dlm,agrg_mrke__dlm,Custom,Ready,Teste_ISH_1744220596880_VALUE__dlm,0,Teste_ISH_1744220594574_ID__dlm,KQ_root__c,Teste_ISH_agrg_mrke,agrg_mrke__dlm,Teste_ISH_agrg_mrke_cod_chav_unic_rgto,STRING,cod_chav_unic_rgto__c,NONE
Teste_ISH,default,,Teste_ISH_1744220594574_ID__dlm,agrg_mrke__dlm,Custom,Ready,Teste_ISH_1744220596880_VALUE__dlm,0,Teste_ISH_1744220594574_ID__dlm,KQ_root__c,Teste_ISH_agrg_mrke,agrg_mrke__dlm,Teste_ISH_agrg_mrke_dat_ulti_aces_mrke,DATE_TIME,dat_ulti_aces_mrke__c,NONE
