developername,sourceentitydevelopername,status,targetentitydevelopername,fieldmappings.developername,fieldmappings.sourcefielddevelopername,fieldmappings.targetfielddevelopername
tbhf9433_abet_cont_cnpj_map_Abertura_de_Conta_CNPJ_1748887539980,tbhf9433_abet_cont_cnpj__dll,ACTIVE,Abertura_de_Conta_CNPJ__dlm,cod_chav_unic_rgto__c_fieldmap_ID__c,cod_chav_unic_rgto__c,ID__c
tbhf9433_abet_cont_cnpj_map_Abertura_de_Conta_CNPJ_1748887539980,tbhf9433_abet_cont_cnpj__dll,ACTIVE,Abertura_de_Conta_CNPJ__dlm,KQ_cod_chav_unic_rgto__c_fieldmap_KQ_ID__c,KQ_cod_chav_unic_rgto__c,KQ_ID__c
tbhf9433_abet_cont_cnpj_map_Abertura_de_Conta_CNPJ_1748887539980,tbhf9433_abet_cont_cnpj__dll,ACTIVE,Abertura_de_Conta_CNPJ__dlm,DataSource__c_fieldmap_DataSource__c,DataSource__c,DataSource__c
tbhf9433_abet_cont_cnpj_map_Abertura_de_Conta_CNPJ_1748887539980,tbhf9433_abet_cont_cnpj__dll,ACTIVE,Abertura_de_Conta_CNPJ__dlm,ind_abet_cont_30_dias_atas__c_fieldmap_ind_abet_cont_30_dias_atas__c,ind_abet_cont_30_dias_atas__c,ind_abet_cont_30_dias_atas__c
tbhf9433_abet_cont_cnpj_map_Abertura_de_Conta_CNPJ_1748887539980,tbhf9433_abet_cont_cnpj__dll,ACTIVE,Abertura_de_Conta_CNPJ__dlm,cod_chav_coro_clie__c_fieldmap_cod_chav_coro_clie__c,cod_chav_coro_clie__c,cod_chav_coro_clie__c
tbhf9433_abet_cont_cnpj_map_Abertura_de_Conta_CNPJ_1748887539980,tbhf9433_abet_cont_cnpj__dll,ACTIVE,Abertura_de_Conta_CNPJ__dlm,KQ_cod_chav_coro_clie__c_fieldmap_KQ_cod_chav_coro_clie__c,KQ_cod_chav_coro_clie__c,KQ_cod_chav_coro_clie__c
tbhf9433_abet_cont_cnpj_map_Abertura_de_Conta_CNPJ_1748887539980,tbhf9433_abet_cont_cnpj__dll,ACTIVE,Abertura_de_Conta_CNPJ__dlm,DataSourceObject__c_fieldmap_DataSourceObject__c,DataSourceObject__c,DataSourceObject__c
tbhf9433_abet_cont_cnpj_map_Abertura_de_Conta_CNPJ_1748887539980,tbhf9433_abet_cont_cnpj__dll,ACTIVE,Abertura_de_Conta_CNPJ__dlm,InternalOrganization__c_fieldmap_InternalOrganization__c,InternalOrganization__c,InternalOrganization__c
tbhf9162_acee_aume_auta_limi_co_2F9754A0_map_Aceite_Aumento_Limite_Conta_1727381416704,tbhf9162_acee_aume_auta_limi_co_2F9754A0__dll,ACTIVE,Aceite_Aumento_Limite_Conta__dlm,dat_incu_acee_aume_auta__c_fieldmap_dat_incu_acee_aume_auta__c,dat_incu_acee_aume_auta__c,dat_incu_acee_aume_auta__c
tbhf9162_acee_aume_auta_limi_co_2F9754A0_map_Aceite_Aumento_Limite_Conta_1727381416704,tbhf9162_acee_aume_auta_limi_co_2F9754A0__dll,ACTIVE,Aceite_Aumento_Limite_Conta__dlm,cod_chav_unic_rgto__c_fieldmap_ID__c,cod_chav_unic_rgto__c,ID__c
