id,developername,mktdatamodelobjectid,keyqualifiername
0gY4X0000004CrUUAU,num_agen_clie,0gj4X0000004CBTQA2,
0gY4X0000004CrVUAU,dat_rfrc,0gj4X0000004CBTQA2,
0gY4X0000004CrWUAU,nom_situ_ocor,0gj4X0000004CBTQA2,
0gY4X0000004CrXUAU,num_ccor_clie,0gj4X0000004CBTQA2,
0gY4X0000004CrYUAU,nom_tipo_assn_ocor_cnuo,0gj4X0000004CBTQA2,
0gY4X0000004CrZUAU,DataSource,0gj4X0000004CBTQA2,
0gY4X0000004CraUAE,UIDD,0gj4X0000004CBTQA2,KQ_UIDD
0gY4X0000004CrbUAE,cod_chav_coro_clie,0gj4X0000004CBTQA2,KQ_cod_chav_coro_clie
0gY4X0000004CrcUAE,des_ocor,0gj4X0000004CBTQA2,
0gY4X0000004CrdUAE,dat_abet_ocor,0gj4X0000004CBTQA2,
0gY4X0000004CreUAE,dat_fim_ocor,0gj4X0000004CBTQA2,
0gY4X0000004CrfUAE,InternalOrganization,0gj4X0000004CBTQA2,
0gY4X0000004CrgUAE,DataSourceObject,0gj4X0000004CBTQA2,
0gY4X0000004CrhUAE,nom_cpto_cana_dtbc,0gj4X0000004CBTQA2,
0gY4X0000004Cs3UAE,qtd_ctrt_excs,0gj4X0000004CBdQAM,
0gY4X0000004Cs4UAE,dat_fudo_empr,0gj4X0000004CBdQAM,
0gY4X0000004Cs5UAE,dat_efet_giro_aval_bnkl,0gj4X0000004CBdQAM,
0gY4X0000004Cs6UAE,qtd_ctrt_clie,0gj4X0000004CBdQAM,
0gY4X0000004Cs7UAE,des_efet_cana_giro_apli,0gj4X0000004CBdQAM,
0gY4X0000004Cs8UAE,dat_simu_rene_bnkl_mboe,0gj4X0000004CBdQAM,
0gY4X0000004Cs9UAE,des_efet_cana_giro_aval,0gj4X0000004CBdQAM,
0gY4X0000004CsAUAU,dat_simu_crto_bnkl_mboe,0gj4X0000004CBdQAM,
0gY4X0000004CsBUAU,dat_pmro_abet_ccor,0gj4X0000004CBdQAM,
0gY4X0000004CsCUAU,dat_simu_giro_crto_mboe,0gj4X0000004CBdQAM,
0gY4X0000004CsDUAU,vlr_ctbl_totl_ctrt_emda,0gj4X0000004CBdQAM,
0gY4X0000004CsEUAU,dat_simu_giro_aval_bnkl,0gj4X0000004CBdQAM,
0gY4X0000004CsFUAU,dat_simu_apli_bnkl_mboe,0gj4X0000004CBdQAM,
0gY4X0000004CsGUAU,qtd_dia_aces_bnkl_30d,0gj4X0000004CBdQAM,
0gY4X0000004CsHUAU,dat_ulti_aces_mboe_30d,0gj4X0000004CBdQAM,
0gY4X0000004CsIUAU,qtd_maor_dia_atrs,0gj4X0000004CBdQAM,
