id,createdbyid,createddate,creationtype,developername
0gj4X0000004CBTQA2,0055e000007C16bAAC,2022-07-28T14:50:42.000+0000,Custom,Reclama_o_atendimento_Humano_iyau
0gj4X0000004CBdQAM,0055e000007CR3PAAW,2022-07-29T15:15:30.000+0000,Custom,Relacionamento_Ita_CNPJ_Anal_tico
0gj4X0000004CBnQAM,0055e000007C16bAAC,2022-08-01T18:27:38.000+0000,Custom,ated_recl_ocor_ouvd
0gj4X0000004CBsQAM,0055e000007Dr0sAAC,2022-08-01T18:56:39.000+0000,Custom,prog_copr_cell
0gj4X0000004CC2QAM,0055e000007Dr1HAAS,2022-08-16T18:32:03.000+0000,Custom,Melhor_Conversa_Pessoa_Jur_dica
0gj4X0000004CCMQA2,0055e000007CgNFAA0,2022-08-17T14:33:24.000+0000,Custom,Contrato_Iti
0gj4X0000004CCRQA2,0055e000007Dr1HAAS,2022-08-17T15:22:28.000+0000,Custom,Informa_o_Cadastral_Conta_Cart_o_Mensal
0gj4X0000004CCWQA2,0055e000007CP62AAG,2022-08-17T19:30:43.000+0000,Custom,mode_info_digl_pfis_a
0gj4X0000004CCbQAM,0055e000007CP62AAG,2022-08-18T13:11:59.000+0000,Custom,Modelo_Engajamento_Correntista
0gj4X0000004CCgQAM,0055e000007C16bAAC,2022-08-19T14:44:17.000+0000,Custom,TBHF9ME_MELH_CVSA_PFIS_PCM
0gj4X0000004CClQAM,0055e000007Dr1MAAS,2022-08-19T19:18:10.000+0000,Custom,mode_melh_cvsa_rank
0gj4X0000004CDAQA2,0055e000007Dr0iAAC,2022-08-22T20:34:04.000+0000,Custom,Clientes_OPF_Consentimentos
0gj4X0000004CDPQA2,0055e000007C16bAAC,2022-08-30T14:19:31.000+0000,Custom,ITRC_DSPR_PCM
0gj4X0000004CDeQAM,0055e000007CR3PAAW,2022-08-31T12:18:12.000+0000,Custom,Relacionamento_Ita_CPF_Anal_tico
0gj4X0000004CDtQAM,0055e000007CP62AAG,2022-08-31T13:26:55.000+0000,Custom,info_cada_itau_crrt
